time;PV3;WP7;WP10;mv_rural_qload;mv_rural_pload;HS4_pload;HS4_qload;HS5_pload;HS5_qload
01.01.2016 00:00;0;0.991261;0.957244;-0.069608;0.134695;0.288751;0.094908;0.551661;0.181322
01.01.2016 00:15;0;0.991023;0.952915;-0.00857;0.125534;0.285279;0.093767;0.547227;0.179865
01.01.2016 00:30;0;0.990784;0.948586;-0.013793;0.141271;0.281807;0.092625;0.542793;0.178408
01.01.2016 00:45;0;0.990546;0.944257;-0.040523;0.131928;0.278335;0.091484;0.538359;0.17695
01.01.2016 01:00;0;0.990307;0.939928;-0.036988;0.136957;0.274863;0.090343;0.533925;0.175493
01.01.2016 01:15;0;0.989069;0.951726;-0.031451;0.132878;0.272143;0.089449;0.528784;0.173803
01.01.2016 01:30;0;0.987832;0.963524;-0.033823;0.137269;0.269422;0.088555;0.523642;0.172113
01.01.2016 01:45;0;0.986594;0.975322;-0.033599;0.129026;0.266701;0.08766;0.518501;0.170423
01.01.2016 02:00;0;0.985356;0.987121;-0.047801;0.126933;0.26398;0.086766;0.513359;0.168733
01.01.2016 02:15;0;0.986617;0.987652;-0.02316;0.152553;0.262245;0.086196;0.509298;0.167398
01.01.2016 02:30;0;0.987879;0.988183;0.003594;0.179021;0.26051;0.085625;0.505237;0.166063
01.01.2016 02:45;0;0.98914;0.988714;-0.008683;0.174661;0.258775;0.085055;0.501175;0.164728
01.01.2016 03:00;0;0.990401;0.989245;-0.001923;0.170131;0.257039;0.084485;0.497114;0.163394
01.01.2016 03:15;0;0.989879;0.989749;-0.024367;0.134027;0.257086;0.0845;0.495391;0.162827
01.01.2016 03:30;0;0.989357;0.990253;-0.059437;0.101782;0.257132;0.084515;0.493667;0.162261
01.01.2016 03:45;0;0.988835;0.990756;-0.058369;0.100396;0.257178;0.08453;0.491944;0.161694
01.01.2016 04:00;0;0.988313;0.99126;-0.059072;0.102784;0.257225;0.084546;0.49022;0.161128
01.01.2016 04:15;0;0.988864;0.99117;-0.058531;0.102598;0.266405;0.087563;0.488245;0.160478
01.01.2016 04:30;0;0.989416;0.99108;-0.041627;0.098679;0.275585;0.09058;0.48627;0.159829
01.01.2016 04:45;0;0.989967;0.99099;-0.048406;0.104763;0.284765;0.093598;0.484295;0.15918
01.01.2016 05:00;0;0.990518;0.9909;-0.048442;0.116851;0.293945;0.096615;0.48232;0.158531
01.01.2016 05:15;0;0.988799;0.988321;-0.025716;0.126727;0.390766;0.128439;0.477112;0.156819
01.01.2016 05:30;0;0.987079;0.985742;-0.020621;0.133859;0.487587;0.160262;0.471903;0.155107
01.01.2016 05:45;0;0.98536;0.983162;-0.009285;0.134605;0.584408;0.192086;0.466694;0.153395
01.01.2016 06:00;0;0.98364;0.980583;-0.007816;0.138796;0.681229;0.223909;0.461485;0.151683
01.01.2016 06:15;0;0.985304;0.981886;-0.011683;0.139756;0.694016;0.228112;0.458485;0.150697
01.01.2016 06:30;0;0.986968;0.983189;-0.040608;0.127689;0.706802;0.232315;0.455486;0.149711
01.01.2016 06:45;0;0.988632;0.984493;-0.037675;0.125987;0.719589;0.236517;0.452486;0.148725
01.01.2016 07:00;0;0.990296;0.985796;-0.021483;0.122491;0.732375;0.24072;0.449486;0.147739
